k,sse_inercia,silhouette,davies_bouldin,calinski_harabasz,tamanho_menor_cluster,tamanhos_clusters
2,7415.772579778526,0.14555508905119863,2.491712093180276,89.09849024833852,207,"{0: 442, 1: 207}"
3,6821.185519037279,0.15473769913125823,2.2057934033804965,76.51281084415065,66,"{0: 384, 1: 199, 2: 66}"
4,6371.407060280506,0.10556511494451137,2.329548533664159,69.70241860832212,66,"{0: 66, 1: 158, 2: 174, 3: 251}"
5,5991.653344176207,0.11155305452128474,2.1997775091958705,65.70820923248205,57,"{0: 63, 1: 57, 2: 195, 3: 218, 4: 116}"
6,5703.497998482777,0.10618502288189101,2.1133486481896155,61.6338179637526,50,"{0: 179, 1: 113, 2: 131, 3: 113, 4: 50, 5: 63}"
